iter	Passed	Remaining
343	19691	94792
344	19749	94738
345	19804	94674
346	19861	94614
347	19919	94558
348	19990	94567
349	20057	94555
350	20124	94547
351	20177	94469
352	20232	94400
353	20294	94362
354	20355	94323
355	20412	94264
356	20473	94223
357	20538	94200
358	20596	94149
359	20652	94082
360	20712	94037
361	20771	93986
362	20832	93949
363	20893	93907
364	20948	93838
365	21003	93768
366	21059	93706
367	21118	93657
368	21182	93628
369	21245	93596
370	21311	93576
371	21373	93539
372	21431	93480
373	21487	93417
374	21544	93359
375	21609	93335
376	21704	93436
377	21791	93506
378	21854	93474
379	21923	93463
380	21994	93460
381	22074	93498
382	22164	93575
383	22259	93674
384	22358	93790
385	22441	93834
386	22514	93839
387	22599	93894
388	22683	93942
389	22756	93943
390	22826	93932
391	22910	93981
392	22988	94002
393	23064	94013
394	23155	94088
395	23230	94094
396	23317	94150
397	23413	94240
398	23503	94307
399	23596	94385
